,index,jas_token,nse_instrument_token,nse_exchange_token,bse_instrument_token,bse_exchange_token,bse_script_code,bse_symbol,nse_symbol,isin_code_equity,name,mcap_crore,m_cap_category,jas_sector_final,sub_sector,industry,industry_segment,Product,Brands,sector_benchmark,mcap_benchmark,peer_1_jas_token,peer_2_jas_token,peer_3_jas_token,peer_4_jas_token,nifty_50,nifty_500
0,0,3828,3050241.0,11915.0,136357892.0,532648.0,532648,YESBANK,YESBANK,INE528G01027,YES BANK LTD,75860.7132,Micro,Financial,Banking,Private Banks,,,,NIFTY Bank,Nifty Free Float Midcap 100,642.0,1699.0,3918.0,3890.0,No,No
1,6,3401,871681.0,3405.0,128197124.0,500770.0,500770,TATACHEM,TATACHEM,INE092A01019,TATA CHEMICALS LTD,18401.41515,Micro,Material,Chemicals,Diversified Chemicals,,,,BSE Basic Material,Nifty Free Float Midcap 100,2373.0,750.0,1136.0,2473.0,No,No
2,7,3403,952577.0,3721.0,128123652.0,500483.0,500483,TATACOMM,TATACOMM,INE151A01013,TATA COMMUNICATIONS LTD,17901.639199999998,Micro,Technology,Hardware,Electronics,Communication & Networking,,,BSE Teck,Nifty Free Float Midcap 100,3238.0,1530.0,3912.0,1297.0,No,No
3,8,52,6401.0,25.0,131225348.0,512599.0,512599,ADANIENT,ADANIENT,INE423A01024,ADANI ENTERPRISES LTD,17539.6628,Mid,Industrial,Capital Goods,Trading & Distribution,Commodities Trading,,,BSE Industrial,Nifty Free Float Midcap 100,2069.0,3220.0,1794.0,2848.0,No,No
4,11,587,160001.0,625.0,128010244.0,500040.0,500040,CENTURYTEX,CENTURYTEX,INE055A01016,CENTURY TEXTILES & INDUSTRIES LTD,13016.1129,Micro,Real Estate & Construction Material,Cement & Construction Material,Cement,,,,BSE Basic Material,Nifty Free Float Midcap 100,2627.0,473.0,3452.0,737.0,No,No
5,28,5021,194561.0,760.0,128023812.0,500093.0,500093,CGPOWER,CGPOWER,INE067A01029,C G POWER & INDL. SOLUTIONS LTD,4991.1507,Micro,Industrial,Capital Goods,Electrical Components & Equipments,Heavy Electrical Equipments,,,BSE Industrial,Nifty Free Float Midcap 100,3535.0,2927.0,3753.0,441.0,No,No
6,56,2988,780289.0,3048.0,134041092.0,523598.0,523598,SCI,SCI,INE109A01011,SHIPPING CORPORATION OF INDIA LTD,3361.2952,Micro,Industrial,Commercial & Professional Services,Transport & Logistics,Shipping,,,BSE Industrial,Nifty Free Float SmallCap 100,3036.0,2344.0,1182.0,944.0,No,No
7,61,2281,625153.0,2442.0,128186884.0,500730.0,500730,NOCIL,NOCIL,INE163A01018,NOCIL LTD,3250.5992,Micro,Material,Chemicals,Commodity Chemicals,,,,BSE Basic Material,Nifty Free Float SmallCap 100,762.0,2021.0,2463.0,1864.0,No,No
8,74,1263,4647425.0,18154.0,136489476.0,533162.0,533162,HATHWAY,HATHWAY,INE982F01036,Hathway Cable & Datacom Ltd,2905.85895,Micro,Consumer Discretionary,Services,Communication Service,Cable & D2H,,,BSE Telecom,Nifty Free Float SmallCap 100,5053.0,770.0,818.0,1312.0,No,No
9,77,1203,2259969.0,8828.0,134201860.0,524226.0,524226,GAEL,GAEL,INE036B01022,GUJARAT AMBUJA EXPORTS LTD,2870.7907999999998,Micro,Consumer Non-Discretionary,Agri/Fisheries/Forest/Poultry,Agro,,,,NIFTY FMCG,Nifty Free Float SmallCap 100,1352.0,868.0,2623.0,90.0,No,No
10,122,3402,185345.0,724.0,136269060.0,532301.0,532301,TATACOFFEE,TATACOFFEE,INE493A01027,TATA COFFEE LTD,2448.87305,Micro,Consumer Non-Discretionary,FMCG,Food & Beverages,Tea & Coffee,,,NIFTY FMCG,Nifty Free Float SmallCap 100,2006.0,2780.0,569.0,501.0,No,No
11,144,2499,6583809.0,25718.0,136132612.0,531768.0,531768,POLYMED,POLYMED,INE205C01021,POLY MEDICURE LTD,2189.9868500000002,Micro,Healthcare,Other Healthcare,Healthcare Equipments,,,,BSE Healthcare,Nifty Free Float SmallCap 100,2339.0,3283.0,1113.0,2185.0,No,No
12,158,1439,2989313.0,11677.0,136348676.0,532612.0,532612,INDOCO,INDOCO,INE873D01024,INDOCO REMEDIES LTD,2128.5438,Micro,Healthcare,Pharma,Pharmaceuticals,,,,NIFTY Pharma,Nifty Free Float SmallCap 100,1536.0,2943.0,3331.0,3572.0,No,No
13,167,366,3712257.0,14501.0,135935748.0,530999.0,530999,BALAMINES,BALAMINES,INE050E01027,BALAJI AMINES LTD,2059.7070999999996,Micro,Material,Chemicals,Speciality Chemicals,,,,BSE Basic Material,Nifty Free Float SmallCap 100,1764.0,5013.0,1358.0,3309.0,No,No
14,189,1293,2475009.0,9668.0,134332164.0,524735.0,524735,HIKAL,HIKAL,INE475B01022,HIKAL LTD,1907.8766,Micro,Healthcare,Pharma,Pharmaceuticals,,,,NIFTY Pharma,Nifty Free Float SmallCap 100,645.0,2291.0,2033.0,483.0,No,No
15,193,1311,3766273.0,14712.0,136411908.0,532859.0,532859,HGS,HGS,INE170I01016,HINDUJA GLOBAL SOLUTIONS LTD,1849.4983000000002,Micro,Industrial,Commercial & Professional Services,Outsourced services,,,,BSE Industrial,Nifty Free Float SmallCap 100,3818.0,136.0,3924.0,1003.0,No,No
16,195,1431,3068673.0,11987.0,133380100.0,521016.0,521016,ICIL,ICIL,INE483B01026,INDO COUNT INDUSTRIES LTD,1838.71315,Micro,Consumer Discretionary,Apparels & Accessories,Textiles,,,,BSE Consumer Discretionary,Nifty Free Float SmallCap 100,1614.0,1552.0,1301.0,503.0,No,No
17,203,984,258049.0,1008.0,151046148.0,590024.0,590024,FACT,FACT,INE188A01015,FERTILIZERS & CHEMICALS TRAVANCORE LTD,1789.8951,Micro,Material,Chemicals,Fertilizers & Agro Chemicals,,,,BSE Basic Material,Nifty Free Float SmallCap 100,3854.0,961.0,2174.0,790.0,No,No
18,208,2943,3659777.0,14296.0,131207428.0,512529.0,512529,SEQUENT,SEQUENT,INE807F01027,SEQUENT SCIENTIFIC LTD,1776.04995,Micro,Healthcare,Pharma,Pharmaceuticals,,,,NIFTY Pharma,Nifty Free Float SmallCap 100,483.0,2033.0,1536.0,1439.0,No,No
19,246,2506,687873.0,2687.0,134157060.0,524051.0,524051,POLYPLEX,POLYPLEX,INE633B01018,POLYPLEX CORPORATION LTD,1564.26275,Micro,Material,Chemicals,Commodity Chemicals,,,,BSE Basic Material,Nifty Free Float SmallCap 100,5056.0,181.0,499.0,3458.0,No,No
20,309,130,1148673.0,4487.0,129732356.0,506767.0,506767,ALKYLAMINE,ALKYLAMINE,INE150B01021,ALKYL AMINES CHEMICALS LTD,1328.75175,Micro,Material,Chemicals,Speciality Chemicals,,,,BSE Basic Material,Nifty Free Float SmallCap 100,3926.0,204.0,644.0,5013.0,No,No
21,320,2897,1252353.0,4892.0,136233732.0,532163.0,532163,SAREGAMA,SAREGAMA,INE979A01017,SAREGAMA INDIA LTD,1290.8466,Micro,Consumer Discretionary,Services,Media & Entertainment,Movies & TV Serials,,,Nifty Media,Nifty Free Float SmallCap 100,3564.0,2978.0,932.0,367.0,No,No
22,336,1988,543745.0,2124.0,134068228.0,523704.0,523704,MASTEK,MASTEK,INE759A01021,MASTEK LTD,1219.6644000000001,Micro,Technology,IT,Software,,,,NIFTY IT,Nifty Free Float SmallCap 100,741.0,2101.0,2774.0,1096.0,No,No
23,365,3414,2292225.0,8954.0,136286980.0,532371.0,532371,TTML,TTML,INE517B01013,TATA TELESERVICES (MAHARASHTRA) LTD,1158.17705,Micro,Consumer Discretionary,Services,Communication Service,Telecom,,,BSE Telecom,Nifty Free Float SmallCap 100,1925.0,448.0,2725.0,1365.0,No,No
24,381,5110,401921.0,1570.0,,,505255,GMMPFAUDLR,GMMPFAUDLR,INE541A01023,GMM Pfaudler Limited,1129.1806000000001,Micro,Industrial,Capital Goods,Machinery,Industrial Machinery,,,Nifty Infra,Nifty Free Float SmallCap 100,1344.0,2293.0,3828.0,935.0,No,No
25,816,3389,3577857.0,13976.0,136394244.0,532790.0,532790,TANLA,TANLA,INE483C01032,TANLA SOLUTIONS LTD,380.9473,Micro,Technology,IT,Software,,,,NIFTY IT,Nifty Free Float SmallCap 100,3520.0,1888.0,310.0,3247.0,No,No
26,1,21,3329.0,13.0,128000516.0,500002.0,500002,ABB,ABB,INE117A01022,ABB India Limited,28907.53425,Micro,Industrial,Capital Goods,Electrical Components & Equipments,Heavy Electrical Equipments,,,BSE Industrial,Nifty 50,441.0,3753.0,3067.0,5021.0,Yes,No
27,285,14,1147137.0,4481.0,134233092.0,524348.0,524348,AARTIDRUGS,AARTIDRUGS,INE767A01016,AARTI DRUGS LTD,1404.78415,Micro,Healthcare,Pharma,Pharmaceuticals,,,,NIFTY Pharma,Nifty Free Float SmallCap 100,119.0,2219.0,1981.0,2291.0,Yes,No
